"decade","avg_pole_rate","avg_start_rate","avg_win_rate","avg_podium_rate","avg_race_wins","avg_race_entries","avg_points","avg_points_per_entry"
2020,"0.1280487804878048","1","0.2195121951219512","0.4756097560975609","36","164","2036.5","12.417682926829269"
2010,"0.13416393077890368","0.9945449896803966","0.13611285454523542","0.3378127704596701","41.166666666666664","306.3333333333333","2382","7.891691615416981"
2000,"0.15526932084309125","0.9749414519906323","0.16591530054644804","0.32399847420339223","36","190","645.25","3.0012330565609253"
1990,"0.24404672385020154","0.9860110889894497","0.22262177739976827","0.4424933864338538","41","185","619.5","3.3609921831818625"
1980,"0.08707989301375321","0.9697033595890308","0.09694573668109106","0.2315206557924693","13.875","139.375","268.3125","1.8763019746373821"
1970,"0.09672821050204598","0.984656608780662","0.11390248012249901","0.2695653950928847","12.2","113.2","232.8","2.1262784816298153"
1960,"0.18852707322097165","0.9676077176703362","0.1433407120877519","0.34280367387003113","11.25","75","178.66","2.4185003093261668"
1950,"0.3763311851547145","0.9736848119201061","0.3341788930024224","0.5921545774486952","14","39.666666666666664","155.99","3.7884718222953517"
